artist,song,duration_ms,year,top half,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,explicit,explicity binary
Kanye West,Diamonds From Sierra Leone - Remix,233400,2005,1,0.672,0.814,7,-3.768,1,0.27,0.258,0.0,0.164,0.379,97.043,hip hop,True,1
Snoop Dogg,Drop It Like It's Hot,266066,2004,0,0.892,0.628,1,-3.832,1,0.216,0.169,0.0,0.102,0.676,92.063,"hip hop, pop",True,1
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,211320,2005,0,0.905,0.55,1,-7.558,1,0.372,0.0628,0.0,0.0644,0.52,100.813,"hip hop, pop",False,0
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),325573,2004,1,0.878,0.417,7,-6.799,1,0.361,0.0444,0.0,0.0833,0.904,77.49,"pop, R&B",False,0
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",202213,2005,0,0.939,0.498,5,-10.94,0,0.161,0.0444,0.00128,0.0475,0.801,113.053,"pop, R&B",False,0
Amerie,1 Thing,238746,2008,0,0.636,0.946,10,-4.683,0,0.332,0.115,3.75e-05,0.0416,0.891,125.085,"hip hop, pop, R&B",False,0
Ludacris,Get Back,270746,2004,1,0.555,0.639,1,-5.16,1,0.263,0.0594,0.0,0.118,0.184,171.609,"hip hop, pop",True,1
Franz Ferdinand,Do You Want To,215000,2005,1,0.412,0.944,0,-2.896,1,0.0448,0.0724,0.000493,0.801,0.79,123.091,rock,False,0
Natalie Imbruglia,Shiver,222653,2005,0,0.489,0.798,1,-4.49,1,0.0316,0.00115,2.81e-06,0.149,0.309,94.163,"pop, Folk/Acoustic",False,0
Gwen Stefani,Hollaback Girl,199853,2004,1,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,"pop, R&B",True,1
Pretty Ricky,Your Body,240040,2005,1,0.838,0.594,4,-5.695,0,0.113,0.176,0.0,0.0867,0.507,90.038,"hip hop, pop, R&B",True,1
Thirty Seconds To Mars,The Kill,231533,2005,1,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,rock,False,0
Alicia Keys,Karma,256000,2003,0,0.727,0.736,10,-6.203,1,0.0615,0.0743,0.00311,0.0348,0.687,85.098,"pop, R&B",False,0
2Pac,Ghetto Gospel,238053,2004,1,0.794,0.614,5,-5.352,0,0.0467,0.0964,0.0,0.0788,0.663,80.569,hip hop,True,1
Craig David,Don't Love You No More (I'm Sorry),243986,2005,1,0.636,0.558,7,-7.076,1,0.0245,0.462,0.0,0.062,0.572,100.113,"hip hop, pop, R&B",False,0
Katie Melua,Nine Million Bicycles,197160,2005,1,0.534,0.247,0,-15.636,1,0.0322,0.516,0.00859,0.122,0.344,82.168,"pop, easy listening, jazz",False,0
Lil Jon & The East Side Boyz,Lovers And Friends,260600,2004,1,0.675,0.501,10,-6.183,1,0.22,0.0541,0.0,0.429,0.532,139.861,"hip hop, pop",True,1
Mariah Carey,Don't Forget About Us - Radio Edit,233866,2005,0,0.7,0.529,10,-6.816,0,0.0395,0.0422,0.0,0.101,0.386,143.555,"pop, R&B",False,0
